fecha,valor
2002-12-01,0.2725116014480591
2003-01-01,0.30470985174179077
2004-01-01,0.3129918575286865
2004-02-01,0.3064744472503662
2005-01-01,0.24865499138832092
2005-12-01,0.24731294810771942
2006-02-01,0.2514692544937134
2007-02-01,0.27144333720207214
2008-01-01,0.2972366511821747
2008-02-01,0.2889496088027954
2009-12-01,0.26931360363960266
2010-01-01,0.2667556703090668
2010-12-01,0.33545804023742676
2011-01-01,0.38799864053726196
2011-02-01,0.3353480100631714
2013-01-01,0.18111862242221832
2014-02-01,0.16545316576957703
2015-01-01,0.1737162321805954
2015-02-01,0.16664186120033264
2017-02-01,0.4080215394496918
2017-03-01,0.41845566034317017
2018-02-01,0.42908230423927307
2018-03-01,0.5423528552055359
2019-02-01,0.48822683095932007
2019-03-01,0.552026629447937
2020-03-01,0.5530889630317688
2021-02-01,0.5655745267868042
2021-03-01,0.6524454355239868
2022-03-01,0.5861014723777771
2023-03-01,0.6206616759300232
2023-04-01,0.6453667879104614
2024-04-01,0.6216138601303101
