lag,r,p_perm,significant
0,-0.058699916647510925,0.323,False
1,-0.04148769347712637,0.491,False
2,-0.028510329668912766,0.655,False
3,-0.013174408694354475,0.836,False
4,-0.0026431487416338773,0.961,False
5,-0.008349663383694923,0.883,False
6,-0.015004629846499654,0.826,False
