lag,r,p_perm,significant
0,-0.11610858348638109,0.067,False
1,-0.10197547793541009,0.098,False
2,-0.08087111759815183,0.175,False
3,-0.05968886710185113,0.321,False
4,-0.042462880611357966,0.458,False
5,-0.036913586338083164,0.526,False
6,-0.036246152216938415,0.538,False
