fecha,valor
2018-12-01,0.11924774944782257
2019-01-01,0.13128957152366638
2019-02-01,0.12987299263477325
2019-03-01,0.12762518227100372
2020-02-01,0.0941808819770813
2020-03-01,0.08618707954883575
2020-12-01,0.10854733735322952
2021-01-01,0.1267130970954895
2021-02-01,0.12811654806137085
2021-03-01,0.11573262512683868
2021-04-01,0.08588368445634842
2022-02-01,0.08226501196622849
2022-03-01,0.08272777497768402
2022-12-01,0.09347029030323029
2023-01-01,0.12181468307971954
2023-02-01,0.12956221401691437
2023-03-01,0.11940783262252808
2023-04-01,0.09534044563770294
2023-11-01,0.09395252913236618
2023-12-01,0.13684558868408203
2024-01-01,0.1731448471546173
2024-02-01,0.13689634203910828
2024-03-01,0.08619993925094604
