lag,r,p_perm,significant
0,-0.08926889324664042,0.14,False
1,-0.08543447241839278,0.159,False
2,-0.0792670317267256,0.196,False
3,-0.08218864924284551,0.174,False
4,-0.09158428644273829,0.107,False
5,-0.0982275929859634,0.108,False
6,-0.10262831668592542,0.103,False
