lag,r,p_perm,significant
0,-0.19050013114436198,0.004,True
1,-0.20172763786030407,0.0,True
2,-0.2064348075802691,0.0,True
3,-0.21421348161542123,0.0,True
4,-0.21910281155176822,0.0,True
5,-0.21346837066919142,0.0,True
6,-0.20907615749610212,0.001,True
