lag,r,p_perm,significant
0,-0.07129388745663635,0.252,False
1,-0.08245878128685034,0.161,False
2,-0.07430699041114072,0.226,False
3,-0.07715710884946653,0.211,False
4,-0.07137844090154075,0.229,False
5,-0.04938964805624785,0.438,False
6,-0.03500644809615722,0.581,False
