lag,r,p_perm,significant
0,-0.10158422686314919,0.103,False
1,-0.08897494992755808,0.128,False
2,-0.056350227640893105,0.357,False
3,-0.026345893587364444,0.673,False
4,-5.2100987968357534e-05,1.0,False
5,0.021298949828316288,0.761,False
6,0.016471408343636397,0.77,False
