lag,r,p_perm,significant
0,-0.1505645660026346,0.012,True
1,-0.1421970528911682,0.014,True
2,-0.10497603835620432,0.082,False
3,-0.06593233980545139,0.272,False
4,-0.025823230739029833,0.66,False
5,0.00850151533716122,0.905,False
6,0.02437654668124199,0.671,False
