lag,r,p_perm,significant
0,-0.18527292524352457,0.0,True
1,-0.19847376000026032,0.002,True
2,-0.20399944213605292,0.002,True
3,-0.2113694400740984,0.001,True
4,-0.21572997490030327,0.0,True
5,-0.2084635491333524,0.0,True
6,-0.20059419999138434,0.0,True
