lag,r,p_perm,significant
0,-0.03642636611615604,0.541,False
1,-0.014532700926928082,0.826,False
2,0.01780460391900146,0.759,False
3,0.04477923681945224,0.486,False
4,0.06156443809876444,0.314,False
5,0.0674582692815898,0.298,False
6,0.05820976085729606,0.32,False
