lag,r,p_perm,significant
0,-0.009630370668179861,0.876,False
1,0.05418943349471164,0.376,False
2,0.09639172182907475,0.099,False
3,0.08604807807954944,0.157,False
4,0.062206220105717164,0.315,False
5,0.014538849970781212,0.825,False
6,-0.0490049509058407,0.448,False
