fecha,valor
2002-12-01,0.32586318254470825
2003-01-01,0.35160723328590393
2004-01-01,0.3573661744594574
2004-02-01,0.3494892120361328
2005-01-01,0.2901745140552521
2005-12-01,0.2865249514579773
2006-02-01,0.29230162501335144
2007-02-01,0.3131707012653351
2008-01-01,0.33399978280067444
2008-02-01,0.32916736602783203
2009-12-01,0.3235417306423187
2010-01-01,0.3162965476512909
2010-12-01,0.38423001766204834
2011-01-01,0.4334547519683838
2011-12-01,0.3789074420928955
2013-01-01,0.21577239036560059
2014-01-01,0.19638952612876892
2014-02-01,0.20366635918617249
2015-01-01,0.21065206825733185
2015-02-01,0.2049843817949295
2017-02-01,0.4487438201904297
2017-03-01,0.4578632414340973
2018-02-01,0.46185535192489624
2018-03-01,0.5751416087150574
2019-02-01,0.5162044763565063
2019-03-01,0.5820730924606323
2020-03-01,0.5879437327384949
2021-02-01,0.5973931550979614
2021-03-01,0.6862698197364807
2022-03-01,0.6220713257789612
2023-03-01,0.6530916094779968
2023-04-01,0.6815385818481445
2024-04-01,0.6598439812660217
