fecha,valor
2002-08-01,0.09372710436582565
2002-09-01,0.09461963921785355
2003-09-01,0.08609674125909805
2004-08-01,0.09300848841667175
2004-09-01,0.08939096331596375
2005-09-01,0.08692951500415802
2006-07-01,0.08185064792633057
2006-09-01,0.08321595937013626
2007-08-01,0.08564195781946182
2007-09-01,0.08679287880659103
2008-09-01,0.08854465931653976
2008-10-01,0.08426399528980255
2009-09-01,0.08588695526123047
2011-07-01,0.0900876596570015
2011-08-01,0.08762562274932861
2011-09-01,0.0907842293381691
2012-09-01,0.0785503089427948
2014-07-01,0.0712103322148323
2014-08-01,0.07767663896083832
2014-09-01,0.07707677781581879
2015-08-01,0.088576540350914
2015-09-01,0.08011090755462646
2015-10-01,0.06930296868085861
2017-08-01,0.060364436358213425
2017-09-01,0.05783826857805252
2018-09-01,0.057917896658182144
2019-09-01,0.056336529552936554
2020-09-01,0.05547602102160454
2021-08-01,0.05658178776502609
2021-09-01,0.05628353729844093
2022-08-01,0.058787934482097626
2022-09-01,0.05840872973203659
2023-09-01,0.060579653829336166
2024-08-01,0.06073915213346481
2024-09-01,0.06380686908960342
