lag,r,p_perm,significant
0,-0.1201311971749041,0.045,True
1,-0.13006942422498846,0.029,True
2,-0.13650866318300392,0.024,True
3,-0.14504121687884117,0.015,True
4,-0.1562291124012201,0.009,True
5,-0.16367761447712553,0.004,True
6,-0.16823847437116987,0.001,True
