fecha,valor
2004-02-01,0.020822277292609215
2004-03-01,0.021592946723103523
2005-03-01,0.018601899966597557
2006-02-01,0.01666185073554516
2006-03-01,0.017130667343735695
2007-03-01,0.01681605540215969
2008-02-01,0.01551419124007225
2008-03-01,0.013773888349533081
2008-04-01,0.013793635182082653
2009-03-01,0.01298889983445406
2009-04-01,0.013820509426295757
2010-03-01,0.0180757325142622
2011-03-01,0.012859961949288845
2012-02-01,0.007839619182050228
2012-03-01,0.007658368907868862
2012-04-01,0.008583297953009605
2013-03-01,0.008599660359323025
2015-01-01,0.01584327220916748
2015-02-01,0.015231864526867867
2015-03-01,0.01538307499140501
2016-02-01,0.017428070306777954
2017-08-01,0.09150278568267822
2018-08-01,0.1175207644701004
2019-08-01,0.11482410877943039
2019-09-01,0.12242195010185242
2021-08-01,0.11808652430772781
2022-07-01,0.11362279206514359
2022-08-01,0.09988962113857269
2023-07-01,0.11630959063768387
2023-09-01,0.11775628477334976
2024-08-01,0.1069280281662941
