lag,r,p_perm,significant
0,-0.21211881067648908,0.0,True
1,-0.15668650687112545,0.013,True
2,-0.14009873831820063,0.027,True
3,-0.16702671771531605,0.005,True
4,-0.2136345390632915,0.002,True
5,-0.2750737668869717,0.0,True
6,-0.33409163582781726,0.0,True
