lag,r,p_perm,significant
0,-0.10680184744851606,0.084,False
1,-0.10361547739064589,0.094,False
2,-0.10623344361389608,0.082,False
3,-0.1166793160497107,0.062,False
4,-0.13281701020104003,0.028,True
5,-0.1397546195014999,0.026,True
6,-0.13543107171016205,0.032,True
