lag,r,p_perm,significant
0,-0.3478759559552281,0.0,True
1,-0.3404327981486053,0.0,True
2,-0.3335666687014026,0.0,True
3,-0.3382199187657755,0.0,True
4,-0.3496145341741947,0.0,True
5,-0.3912312770563258,0.0,True
6,-0.4403356966526864,0.0,True
