fecha,valor
2003-01-01,0.04689735174179077
2003-12-01,0.04541672766208649
2004-01-01,0.04437470808625221
2004-02-01,0.04301487281918526
2004-12-01,0.042105186730623245
2005-01-01,0.041520968079566956
2005-12-01,0.03921300917863846
2006-01-01,0.03681696951389313
2007-01-01,0.03588612377643585
2007-12-01,0.03924010694026947
2008-01-01,0.03676317259669304
2008-02-01,0.04021808132529259
2009-01-01,0.040554940700531006
2009-04-01,0.04217628762125969
2011-01-01,0.045456092804670334
2011-02-01,0.041554003953933716
2012-02-01,0.03785979002714157
2013-01-01,0.03465374931693077
2013-02-01,0.03105033002793789
2013-03-01,0.03331408277153969
2014-03-01,0.035844869911670685
2015-01-01,0.036935847252607346
2016-01-01,0.03599192574620247
2016-02-01,0.03499028459191322
2016-04-01,0.03620385006070137
2019-01-01,0.026617832481861115
2019-02-01,0.0280768983066082
2019-03-01,0.03013451211154461
2021-01-01,0.029772136360406876
2021-02-01,0.031956348568201065
2022-12-01,0.029724664986133575
2023-01-01,0.02824842557311058
2023-02-01,0.027860291302204132
2024-01-01,0.028850506991147995
2024-02-01,0.029053378850221634
