lag,r,p_perm,significant
0,-0.14095815851966614,0.027,True
1,-0.12812672884420137,0.03,True
2,-0.08746494360207258,0.144,False
3,-0.04654121648583369,0.457,False
4,-0.0072426196536569815,0.904,False
5,0.024241676571563234,0.685,False
6,0.03582862094704986,0.571,False
