fecha,valor,estado
2002-07-01,0.1984751671552658,1
2002-08-01,0.2241058647632599,1
2002-09-01,0.22503559291362762,1
2002-10-01,0.25598594546318054,1
2002-11-01,0.3121147155761719,1
2002-12-01,0.32586318254470825,1
2003-01-01,0.35160723328590393,1
2003-02-01,0.31175100803375244,1
2003-03-01,0.3145325183868408,1
2003-04-01,0.2799132764339447,1
2003-05-01,0.22741389274597168,1
2003-06-01,0.22133494913578033,1
2003-07-01,0.19784113764762878,1
2003-08-01,0.18187513947486877,1
2003-09-01,0.21492677927017212,1
2003-10-01,0.2156352996826172,1
2003-11-01,0.29140380024909973,1
2003-12-01,0.3468000888824463,1
2004-01-01,0.3573661744594574,1
2004-02-01,0.3494892120361328,1
2004-03-01,0.2869375944137573,1
2004-04-01,0.23641447722911835,1
2004-05-01,0.23463088274002075,1
2004-06-01,0.21821364760398865,1
2004-07-01,0.18555445969104767,1
2004-08-01,0.2217552810907364,1
2004-09-01,0.21352538466453552,1
2004-10-01,0.21420568227767944,1
2004-11-01,0.24532364308834076,1
2004-12-01,0.27301642298698425,1
2005-01-01,0.2901745140552521,1
2005-02-01,0.26652130484580994,1
2005-03-01,0.2542314827442169,1
2005-04-01,0.24699059128761292,1
2005-05-01,0.20072229206562042,1
2005-06-01,0.1867695450782776,1
2005-07-01,0.1631079465150833,1
2005-08-01,0.16784241795539856,1
2005-09-01,0.20363351702690125,1
2005-10-01,0.22528308629989624,1
2005-11-01,0.23799142241477966,1
2005-12-01,0.2865249514579773,1
2006-01-01,0.27586629986763,1
2006-02-01,0.29230162501335144,1
2006-03-01,0.274038165807724,1
2006-04-01,0.24009017646312714,1
2006-05-01,0.22692468762397766,1
2006-06-01,0.20276793837547302,1
2006-07-01,0.18117225170135498,1
2006-08-01,0.17607824504375458,1
2006-09-01,0.19632859528064728,1
2006-10-01,0.2205437570810318,1
2006-11-01,0.22745168209075928,1
2006-12-01,0.2463742345571518,1
2007-01-01,0.2533867359161377,1
2007-02-01,0.3131707012653351,1
2007-03-01,0.2924808859825134,1
2007-04-01,0.2320663034915924,1
2007-05-01,0.211716428399086,1
2007-06-01,0.21081922948360443,1
2007-07-01,0.19237366318702698,1
2007-08-01,0.2021409273147583,1
2007-09-01,0.2113998383283615,1
2007-10-01,0.24344967305660248,1
2007-11-01,0.23578856885433197,1
2007-12-01,0.28138652443885803,1
2008-01-01,0.33399978280067444,1
2008-02-01,0.32916736602783203,1
2008-03-01,0.28428900241851807,1
2008-04-01,0.2318662703037262,1
2008-05-01,0.220363587141037,1
2008-06-01,0.20929987728595734,1
2008-07-01,0.18063491582870483,1
2008-08-01,0.17250317335128784,1
2008-09-01,0.1875700056552887,1
2008-10-01,0.2387988418340683,1
2008-11-01,0.2247893214225769,1
2008-12-01,0.2540183365345001,1
2009-01-01,0.28362616896629333,1
2009-02-01,0.27818456292152405,1
2009-03-01,0.23985962569713593,1
2009-04-01,0.19899335503578186,1
2009-05-01,0.17870423197746277,1
2009-06-01,0.17351862788200378,1
2009-07-01,0.17154443264007568,1
2009-08-01,0.16452902555465698,1
2009-09-01,0.18915213644504547,1
2009-10-01,0.22567613422870636,1
2009-11-01,0.2657290995121002,1
2009-12-01,0.3235417306423187,1
2010-01-01,0.3162965476512909,1
2010-02-01,0.30685409903526306,1
2010-03-01,0.24063287675380707,1
2010-04-01,0.2099953293800354,1
2010-05-01,0.2001676857471466,1
2010-06-01,0.1906450092792511,1
2010-07-01,0.17433971166610718,1
2010-08-01,0.17512983083724976,1
2010-09-01,0.17370811104774475,1
2010-10-01,0.19507402181625366,1
2010-11-01,0.2477407306432724,1
2010-12-01,0.38423001766204834,0
2011-01-01,0.4334547519683838,0
2011-02-01,0.37690162658691406,0
2011-03-01,0.27559322118759155,1
2011-04-01,0.2566738426685333,1
2011-05-01,0.2767472267150879,1
2011-06-01,0.24225345253944397,1
2011-07-01,0.22463834285736084,1
2011-08-01,0.20024476945400238,1
2011-09-01,0.19812798500061035,1
2011-10-01,0.20944127440452576,1
2011-11-01,0.30163609981536865,1
2011-12-01,0.3789074420928955,1
2012-01-01,0.29033342003822327,1
2012-02-01,0.23602759838104248,1
2012-03-01,0.21436627209186554,1
2012-04-01,0.17867033183574677,1
2012-05-01,0.18547484278678894,1
2012-06-01,0.19772054255008698,1
2012-07-01,0.17187026143074036,1
2012-08-01,0.15331368148326874,1
2012-09-01,0.17782145738601685,1
2012-10-01,0.1708320528268814,1
2012-11-01,0.1651337742805481,1
2012-12-01,0.18129891157150269,1
2013-01-01,0.21577239036560059,1
2013-02-01,0.19123178720474243,1
2013-03-01,0.19456644356250763,1
2013-04-01,0.15573206543922424,1
2013-05-01,0.15130791068077087,1
2013-06-01,0.14501141011714935,1
2013-07-01,0.14305607974529266,1
2013-08-01,0.1386151760816574,1
2013-09-01,0.1508622020483017,1
2013-10-01,0.1574113368988037,1
2013-11-01,0.16856735944747925,1
2013-12-01,0.18457315862178802,1
2014-01-01,0.19638952612876892,1
2014-02-01,0.20366635918617249,1
2014-03-01,0.1617974489927292,1
2014-04-01,0.16584788262844086,1
2014-05-01,0.15281377732753754,1
2014-06-01,0.15488837659358978,1
2014-07-01,0.15456224977970123,1
2014-08-01,0.16337376832962036,1
2014-09-01,0.1862504929304123,1
2014-10-01,0.16241122782230377,1
2014-11-01,0.18447747826576233,1
2014-12-01,0.19585636258125305,1
2015-01-01,0.21065206825733185,1
2015-02-01,0.2049843817949295,1
2015-03-01,0.17200495302677155,1
2015-04-01,0.14786683022975922,1
2015-05-01,0.15497902035713196,1
