lag,r,p_perm,significant
0,-0.11612062799709591,0.066,False
1,-0.10429893148761293,0.087,False
2,-0.08335483469948679,0.191,False
3,-0.05958369159278356,0.332,False
4,-0.03844099131441919,0.546,False
5,-0.028590260261165956,0.645,False
6,-0.02452868801448084,0.701,False
