fecha,valor
2003-01-01,0.1564633846282959
2004-01-01,0.17647746205329895
2004-02-01,0.17049023509025574
2005-02-01,0.14668338000774384
2006-02-01,0.14796726405620575
2006-03-01,0.15042324364185333
2007-02-01,0.16170921921730042
2008-01-01,0.15653559565544128
2008-02-01,0.16711238026618958
2008-03-01,0.15305590629577637
2010-01-01,0.1493527740240097
2010-02-01,0.14967846870422363
2010-12-01,0.16424964368343353
2011-01-01,0.1888580620288849
2011-02-01,0.17610736191272736
2011-12-01,0.16749349236488342
2013-01-01,0.13112492859363556
2013-03-01,0.12466492503881454
2014-02-01,0.11942746490240097
2015-01-01,0.12938545644283295
2015-02-01,0.120764821767807
2017-02-01,0.17165526747703552
2018-02-01,0.1914820373058319
2018-12-01,0.21400447189807892
2019-02-01,0.19589364528656006
2019-03-01,0.19035014510154724
2020-12-01,0.19473731517791748
2021-01-01,0.23160843551158905
2021-02-01,0.24123826622962952
2022-12-01,0.21335430443286896
2023-01-01,0.24513201415538788
2024-01-01,0.2827857434749603
2024-02-01,0.25157028436660767
