lag,r,p_perm,significant
0,0.08997074688277854,0.141,False
1,0.030087982354064183,0.629,False
2,0.006711876636004477,0.914,False
3,0.03739667467472115,0.545,False
4,0.09410655814976793,0.132,False
5,0.14869708760861702,0.011,True
6,0.19353102545597303,0.0,True
