fecha,valor,estado
2002-07-01,0.04358590766787529,1
2002-08-01,0.05162156745791435,1
2002-09-01,0.042396169155836105,1
2002-10-01,0.0949932113289833,1
2002-11-01,0.2127010077238083,0
2002-12-01,0.16275830566883087,0
2003-01-01,0.3184879720211029,0
2003-02-01,0.31255772709846497,0
2003-03-01,0.27927646040916443,0
2003-04-01,0.22876782715320587,0
2003-05-01,0.13300786912441254,0
2003-06-01,0.09195732325315475,1
2003-07-01,0.0408783033490181,1
2003-08-01,0.032328490167856216,1
2003-09-01,0.07493776082992554,1
2003-10-01,0.05751156434416771,1
2003-11-01,0.34796056151390076,0
2003-12-01,0.3398131728172302,0
2004-01-01,0.27644336223602295,0
2004-02-01,0.36333340406417847,0
2004-03-01,0.19917206466197968,0
2004-04-01,0.1516209840774536,0
2004-05-01,0.09892189502716064,1
2004-06-01,0.052776020020246506,1
2004-07-01,0.0474499873816967,1
2004-08-01,0.06259486824274063,1
2004-09-01,0.053486526012420654,1
2004-10-01,0.06692230701446533,1
2004-11-01,0.16650862991809845,0
2004-12-01,0.2008666843175888,0
2005-01-01,0.27857697010040283,0
2005-02-01,0.20123790204524994,0
2005-03-01,0.25400304794311523,0
2005-04-01,0.2029460072517395,0
2005-05-01,0.09370747953653336,1
2005-06-01,0.05916507542133331,1
2005-07-01,0.033222176134586334,1
2005-08-01,0.03481849282979965,1
2005-09-01,0.0696953684091568,1
2005-10-01,0.11370091885328293,0
2005-11-01,0.19581803679466248,0
2005-12-01,0.2601729929447174,0
2006-01-01,0.21586966514587402,0
2006-02-01,0.30790650844573975,0
2006-03-01,0.32497474551200867,0
2006-04-01,0.2177470326423645,0
2006-05-01,0.14184124767780304,0
2006-06-01,0.0575755350291729,1
2006-07-01,0.0355679914355278,1
2006-08-01,0.03798789530992508,1
2006-09-01,0.03836749866604805,1
2006-10-01,0.07913518697023392,1
2006-11-01,0.0731135904788971,1
2006-12-01,0.16986097395420074,0
2007-01-01,0.20663876831531525,0
2007-02-01,0.36800384521484375,0
2007-03-01,0.32432374358177185,0
2007-04-01,0.18857941031455994,0
2007-05-01,0.12380452454090118,0
2007-06-01,0.08986171334981918,1
2007-07-01,0.053069666028022766,1
2007-08-01,0.055167559534311295,1
2007-09-01,0.04464002326130867,1
2007-10-01,0.11657285690307617,0
2007-11-01,0.1387881189584732,0
2007-12-01,0.28106269240379333,0
2008-01-01,0.2999544143676758,0
2008-02-01,0.3638339936733246,0
2008-03-01,0.25218909978866577,0
2008-04-01,0.22948135435581207,0
2008-05-01,0.18667668104171753,0
2008-06-01,0.11097906529903412,0
2008-07-01,0.036127541214227676,1
2008-08-01,0.032746125012636185,1
2008-09-01,0.03678938001394272,1
2008-10-01,0.10353709012269974,1
2008-11-01,0.08976660668849945,1
2008-12-01,0.19246383011341095,0
2009-01-01,0.298966646194458,0
2009-02-01,0.28308555483818054,0
2009-03-01,0.2110869288444519,0
2009-04-01,0.2280251830816269,0
2009-05-01,0.07739099115133286,1
2009-06-01,0.0469067245721817,1
2009-07-01,0.0294115599244833,1
2009-08-01,0.02348341979086399,1
2009-09-01,0.036694567650556564,1
2009-10-01,0.05377316474914551,1
2009-11-01,0.08711595833301544,1
2009-12-01,0.14388620853424072,0
2010-01-01,0.18128351867198944,0
2010-02-01,0.1624632477760315,0
2010-03-01,0.13930395245552063,0
2010-04-01,0.1080818772315979,0
2010-05-01,0.076266810297966,1
2010-06-01,0.050791312009096146,1
2010-07-01,0.03152720630168915,1
2010-08-01,0.028977559879422188,1
2010-09-01,0.0333121195435524,1
2010-10-01,0.078255794942379,1
2010-11-01,0.13033391535282135,0
2010-12-01,0.3996001183986664,0
2011-01-01,0.29198595881462097,0
2011-02-01,0.4037156105041504,0
2011-03-01,0.3121161460876465,0
2011-04-01,0.21050627529621124,0
2011-05-01,0.1334688514471054,0
2011-06-01,0.07255962491035461,1
2011-07-01,0.04575439542531967,1
2011-08-01,0.03414221107959747,1
2011-09-01,0.026904528960585594,1
2011-10-01,0.049143873155117035,1
2011-11-01,0.27195796370506287,0
2011-12-01,0.4584270715713501,0
2012-01-01,0.22252872586250305,0
2012-02-01,0.22808857262134552,0
2012-03-01,0.17840060591697693,0
2012-04-01,0.13635830581188202,0
2012-05-01,0.08142717182636261,1
2012-06-01,0.05627170205116272,1
2012-07-01,0.0293051078915596,1
2012-08-01,0.023158762603998184,1
2012-09-01,0.03610159456729889,1
2012-10-01,0.04814321920275688,1
2012-11-01,0.058628760278224945,1
2012-12-01,0.09147882461547852,1
2013-01-01,0.1610606461763382,0
2013-02-01,0.13692782819271088,0
2013-03-01,0.13721050322055817,0
2013-04-01,0.08306337147951126,1
2013-05-01,0.06632990390062332,1
2013-06-01,0.035024482756853104,1
2013-07-01,0.02434924989938736,1
2013-08-01,0.021560505032539368,1
2013-09-01,0.02679203636944294,1
2013-10-01,0.042094793170690536,1
2013-11-01,0.0972229391336441,1
2013-12-01,0.10808733105659485,0
2014-01-01,0.1002144142985344,0
2014-02-01,0.1474468857049942,0
2014-03-01,0.11027169227600098,0
2014-04-01,0.10519038885831833,0
2014-05-01,0.05854111164808273,1
2014-06-01,0.02900118939578533,1
2014-07-01,0.024222534149885178,1
2014-08-01,0.029140815138816833,1
2014-09-01,0.036843691021203995,1
2014-10-01,0.03419589251279831,1
2014-11-01,0.08907794207334518,1
2014-12-01,0.13675172626972198,0
2015-01-01,0.1304188072681427,0
2015-02-01,0.14100739359855652,0
2015-03-01,0.1099391058087349,0
2015-04-01,0.09997057914733887,1
2015-05-01,0.08743207156658173,1
2015-06-01,0.035324111580848694,1
2015-07-01,0.026016566902399063,1
2015-08-01,0.05784493684768677,1
2015-09-01,0.030157968401908875,1
2015-10-01,0.051781389862298965,1
2015-11-01,0.09444359689950943,1
2015-12-01,0.07112949341535568,1
2016-01-01,0.1024569496512413,1
2016-02-01,0.13440559804439545,1
2016-03-01,0.08196577429771423,1
2016-04-01,0.09735126048326492,1
2016-05-01,0.016929930076003075,1
2016-06-01,0.014440693892538548,1
2016-07-01,0.013565725646913052,1
2016-08-01,0.011758683249354362,1
2016-09-01,0.013312948867678642,1
2016-10-01,0.012384481728076935,1
2016-11-01,0.02168326824903488,1
2016-12-01,0.03398129716515541,1
2017-01-01,0.03776245936751366,1
2017-02-01,0.05687306821346283,1
2017-03-01,0.0377967432141304,1
2017-04-01,0.028953589498996735,1
2017-05-01,0.02548915147781372,1
2017-06-01,0.019364027306437492,1
2017-07-01,0.015317675657570362,1
2017-08-01,0.012732071802020073,1
2017-09-01,0.015067942440509796,1
2017-10-01,0.01751152239739895,1
2017-11-01,0.038005322217941284,1
2017-12-01,0.06901577115058899,1
